Jeremy.Cooperstock,Jason.DellaRocca,Vic.diCiccio,Abby.Goodrum,Sean.Gouglas,Diane.Gromala,Carl.Gutwin,Beverly.Harrison,Jennifer.Jenson,Gerald.Karam,Gord.Kurtenbach,Regan.Mandryk,Catherine.Middleton,Pierre.Poulin,Bart.Simon,Samuel.Trosow,Brian.Wyvill,Robert.Woodbury,Peter.Pirolli,
Melanie.Tory,-2000.0,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,
Michael.Terry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,0.0,
Michiel.Van.De.Panne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,
Nicholas.Graham,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Paul.Kry,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,
Paula.Gardner,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,
Przemyslaw.Prusinkiewicz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,
Ravin.Balakrishnan,-2000.0,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,
Robert.Biddle,-2000.0,0.0,0.0,0.0,-2000.0,0.0,-2000.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,
Roel.Vertegaal,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ron.Wakkary,0.0,-2000.0,0.0,-2000.0,-2000.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,-2000.0,0.0,0.0,
Ronald.Baecker,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Roy.Eagleson,-2000.0,0.0,-2000.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-2000.0,0.0,-2000.0,0.0,-2000.0,0.0,
Sandrine.deRibaupierre,-2000.0,0.0,-2000.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-2000.0,-2000.0,-2000.0,0.0,-2000.0,0.0,
Sheelagh.Carpendale,-2000.0,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,-2000.0,0.0,
Sidney.Fels,-2000.0,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,-2000.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,
Stephen.Brooks,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,
Wolfgang.Heidrich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,
Wolfgang.Stuerzlinger,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,-2000.0,0.0,0.0,-2000.0,-2000.0,0.0,
